locationType,worldX,worldY,locationID,region,climate
Farm,884,243,88459243105,Wayrest,1
Farm,586,386,58672386110,Alik'r Desert,8
Farm,560,316,5606031664,Tigonus,7
Farm,172,90,172649070,Glenpoint,3
Farm,883,413,8839241331,Dragontail Mountains,4
Farm,747,360,7477036069,Totambu,5
Farm,181,194,1815419474,Daggerfall,1
Farm,653,79,6539779101,Kambria,1
Farm,981,322,9816432219,Mournoth,5
Farm,713,494,7132049460,Dak'fron,9
Farm,689,325,6899232561,Kozanset,5
Farm,820,351,8201735173,Totambu,5
Farm,270,86,270708622,Ilessan Hills,1
Farm,896,253,8965125338,Wayrest,1
Farm,708,130,70812513014,Alcaire,1
Farm,249,423,2491242377,Pothago,7
Farm,713,286,7130028659,Lainlyn,5
Farm,864,362,8641536267,Totambu,5
Farm,960,216,9602421676,Wayrest,3
Farm,470,128,4708812893,Urvaius,1
Farm,582,110,5826011099,Bhoriane,1
Farm,414,146,4146114618,Anticlere,1
Farm,352,12,352641258,Ykalon,2
Farm,973,375,9737437555,Mournoth,5
Farm,902,51,902425159,Wrothgarian Mountains,4
Farm,622,362,6229136293,Dragontail Mountains,4
Farm,722,76,722377658,Wrothgarian Mountains,4
Farm,232,22,2325522113,Northmoor,1
Farm,795,193,7958319326,Menevia,1
Farm,468,47,4681054761,Urvaius,1
Farm,607,449,60711044954,Dak'fron,9
Farm,346,479,346110479120,Alik'r Desert,8
Farm,189,475,1893547526,Abibon-gora,7
Farm,875,168,8758716845,Orsinium Area,3
Farm,764,454,76410245470,Dragontail Mountains,4
Farm,599,74,599597474,Kambria,1
Farm,581,447,58112244773,Dak'fron,9
Farm,661,302,6612730256,Dragontail Mountains,4
Farm,162,73,162687356,Glenpoint,1
Farm,208,156,2089515674,Daggerfall,3
Farm,151,121,1511312114,Glenpoint,3
Farm,886,109,88605109124,Wrothgarian Mountains,4
Farm,412,135,412127135123,Anticlere,1
Farm,661,109,66190109101,Koegria,1
Farm,695,436,69511943661,Dragontail Mountains,4
Farm,886,63,886016359,Wrothgarian Mountains,4
Farm,110,132,1101413205,Tulune,1
Farm,769,341,7690934158,Totambu,5
Farm,357,138,3571013801,Anticlere,1
Farm,230,10,2306510108,Northmoor,1
Farm,792,418,7925141872,Dragontail Mountains,4
Farm,214,28,2141022851,Northmoor,1
Farm,637,7,637900767,Wrothgarian Mountains,4
Farm,587,390,5877039060,Alik'r Desert,8
Farm,500,134,5009713474,Anticlere,1
Farm,261,206,2610420661,Daggerfall,1
Farm,910,356,9107235618,Totambu,5
Farm,889,380,8891038061,Totambu,5
Farm,977,140,97710814051,Wrothgarian Mountains,4
Farm,536,122,5360612254,Dwynnen,1
Farm,658,93,6581159359,Koegria,1
Farm,779,365,7795936544,Totambu,5
Farm,740,447,7406044754,Dragontail Mountains,4
Farm,145,179,1453717973,Daggerfall,1
Farm,421,119,4215011959,Anticlere,1
Farm,513,101,5139710141,Dwynnen,1
Farm,804,323,80412532373,Totambu,5
Farm,651,56,651695673,Kambria,4
Farm,576,299,5761829912,Tigonus,7
Farm,550,322,5506532210,Tigonus,7
Farm,782,327,7822232709,Totambu,5
Farm,641,320,6412732064,Dragontail Mountains,4
Farm,715,27,715412735,Wrothgarian Mountains,4
Farm,193,472,1934647264,Abibon-gora,7
Farm,194,69,1946769113,Ilessan Hills,3
Farm,296,153,2969215377,Shalgora,1
Farm,864,244,86411824474,Wayrest,1
Farm,585,330,5851033064,Tigonus,4
Farm,807,371,8076437169,Totambu,5
Farm,383,46,3835646124,Daenia,1
Farm,225,442,22511844263,Kairou,7
Farm,411,70,4111227014,Daenia,1
Farm,258,176,2588317642,Daggerfall,1
Farm,523,133,5235913332,Dwynnen,1
Farm,680,113,6806511356,Koegria,1
Farm,644,88,644708867,Bhoriane,1
Farm,679,201,6798820186,Isle of Balfiera,4
Farm,912,233,9123623341,Wayrest,1
Farm,903,218,9039321876,Wayrest,1
Farm,271,78,27110978120,Ilessan Hills,1
Farm,224,127,2242212726,Glenpoint,3
Farm,466,159,4665215959,Anticlere,1
Farm,801,201,8015220108,Menevia,1
Farm,304,194,3042319412,Shalgora,1
Farm,914,97,914999752,Wrothgarian Mountains,4
Farm,224,165,2240616565,Daggerfall,3
Farm,417,107,4177010760,Urvaius,1
Farm,864,298,86436298100,Satakalaam,5
Farm,605,77,605527754,Kambria,1
Farm,813,451,8136945161,Ephesus,4
Farm,212,189,2125918951,Daggerfall,1
Farm,871,166,8711016601,Orsinium Area,3
Farm,890,345,89060345116,Totambu,5
Farm,870,484,8703748482,Dragontail Mountains,4
Farm,428,17,4281111760,Ykalon,2
Farm,511,471,51112447101,Dak'fron,9
Farm,344,451,344106451106,Alik'r Desert,8
Farm,233,14,2331061465,Northmoor,1
Farm,925,323,92511632303,Mournoth,5
Farm,365,370,3657637054,Sentinel,7
Farm,108,182,1081718201,Daggerfall,1
Farm,953,299,95310229968,Mournoth,5
Farm,488,360,4886736072,Tigonus,7
Farm,343,372,34310837273,Sentinel,7
Farm,732,333,7326433373,Kozanset,5
Farm,899,196,8996719661,Wayrest,1
Farm,498,355,4986535508,Tigonus,7
Farm,557,132,5571413272,Bhoriane,1
Farm,215,194,2156419406,Daggerfall,1
Farm,618,412,6188241233,Alik'r Desert,8
Farm,319,160,3199716027,Shalgora,1
Farm,237,463,2370146300,Alik'r Desert,8
Farm,825,346,8256134665,Totambu,5
Farm,696,383,6965538367,Dragontail Mountains,4
Farm,301,393,3018639386,Myrkwasa,7
Farm,245,111,2451811152,Ilessan Hills,3
Farm,406,51,4065451118,Daenia,1
Farm,578,15,57810015102,Phrygias,4
Farm,192,477,19212347770,Abibon-gora,7
Farm,353,144,35310614474,Anticlere,1
Farm,895,469,89510246973,Ephesus,4
Farm,455,463,4553646352,Alik'r Desert,8
Farm,765,443,7657344354,Dragontail Mountains,4
Farm,936,197,93679197102,Wrothgarian Mountains,4
Farm,498,354,4987235468,Tigonus,7
Farm,400,38,400363865,Ykalon,1
Farm,950,197,9507319786,Wrothgarian Mountains,4
Farm,298,182,2986318267,Daggerfall,1
Farm,442,35,4421183555,Ykalon,1
Farm,322,191,32212519158,Shalgora,1
Farm,360,36,360553683,Ykalon,1
Farm,821,168,8215516819,Menevia,1
Farm,787,116,78799116101,Wrothgarian Mountains,4
Farm,835,376,83556376119,Totambu,5
Farm,343,181,3430118169,Anticlere,1
Farm,426,56,426765631,Urvaius,1
Farm,532,110,5325811008,Dwynnen,1
Farm,713,111,7133211144,Alcaire,1
Farm,650,106,65012710620,Bhoriane,1
Farm,333,11,333691106,Ykalon,2
Farm,771,46,7711234659,Wrothgarian Mountains,4
Farm,355,450,3555945059,Alik'r Desert,8
Farm,270,193,2706119309,Daggerfall,1
Farm,894,182,8945518209,Orsinium Area,3
Farm,235,72,2351027281,Ilessan Hills,1
Farm,552,88,552598863,Dwynnen,1
Farm,422,162,4225416273,Anticlere,1
Farm,845,147,8451914772,Menevia,3
Farm,426,386,4267838626,Sentinel,7
Farm,388,122,3888812270,Anticlere,1
Farm,350,117,3503811754,Daenia,1
Farm,494,62,4945262101,Dwynnen,1
Farm,893,389,8931738977,Totambu,5
Farm,516,391,5169139167,Ayasofya,7
Farm,299,191,29912191105,Daggerfall,1
Farm,156,209,15612320905,Daggerfall,1
Farm,88,135,885013531,Tulune,1
Farm,927,376,9275637669,Totambu,5
Farm,298,142,2981914264,Shalgora,1
Farm,501,97,501249717,Dwynnen,1
Farm,278,187,2785618758,Daggerfall,1
Farm,903,236,90312323667,Wayrest,1
Farm,79,99,79749973,Glenumbra Moors,1
Farm,939,20,939732044,Wrothgarian Mountains,4
Farm,885,448,88552448115,Ephesus,4
Farm,263,171,2637217131,Daggerfall,1
Farm,523,60,523296026,Dwynnen,1
Farm,223,154,2239115473,Daggerfall,3
Farm,405,146,40560146105,Anticlere,1
Farm,474,136,4741413661,Anticlere,1
Farm,916,84,916598428,Wrothgarian Mountains,4
Farm,379,455,3794745538,Alik'r Desert,8
Farm,594,340,5945834084,Dragontail Mountains,4
Farm,189,104,18912310454,Glenpoint,3
Farm,254,423,2541042361,Pothago,7
Farm,178,462,1787246273,Abibon-gora,7
Farm,305,21,305552187,Ykalon,2
Farm,769,489,7691748961,Dragontail Mountains,4
Farm,288,47,288334736,Ykalon,1
Farm,824,332,8245433288,Totambu,5
Farm,846,371,8465537169,Totambu,5
Farm,808,469,8087446912,Dragontail Mountains,4
Farm,506,143,5066814364,Anticlere,1
Farm,492,47,4921194776,Dwynnen,1
Farm,925,100,9251810069,Wrothgarian Mountains,4
Farm,882,353,8827035397,Totambu,5
Farm,288,177,2886717760,Daggerfall,1
Farm,878,15,878601595,Wrothgarian Mountains,4
Farm,318,191,3180419161,Shalgora,1
Farm,727,113,7271711369,Alcaire,1
Farm,691,219,69110521952,Isle of Balfiera,4
Farm,655,53,655605354,Kambria,4
Farm,127,59,127365945,Glenumbra Moors,1
Farm,964,51,9641095113,Wrothgarian Mountains,4
Farm,328,405,3287640564,Sentinel,7
Farm,743,483,7437648358,Dragontail Mountains,4
Farm,444,421,4440442112,Antiphyllos,8
Farm,168,47,168904751,Northmoor,1
Farm,608,331,6087433126,Dragontail Mountains,4
Farm,439,162,43977162122,Anticlere,1
Farm,514,325,5146032528,Tigonus,6
Farm,434,380,43455380127,Sentinel,7
Farm,914,211,9146121186,Wayrest,1
Farm,194,127,1946012772,Glenpoint,3
Farm,521,106,5218310656,Dwynnen,1
Farm,566,6,566490678,Phrygias,4
Farm,931,244,9317624452,Wayrest,1
Farm,762,489,7627748972,Dragontail Mountains,4
Farm,813,346,8130534660,Totambu,5
Farm,905,480,9053348060,Dragontail Mountains,4
Farm,783,476,7832047674,Dragontail Mountains,4
Farm,731,129,7318412970,Alcaire,1
Farm,505,127,50511112767,Urvaius,1
Farm,199,157,1996315765,Daggerfall,3
Farm,175,176,1750617619,Daggerfall,1
Farm,289,421,28974421109,Myrkwasa,7
Farm,821,314,8217031477,Satakalaam,5
Farm,607,87,607598770,Kambria,1
Farm,511,101,5117010176,Dwynnen,1
Farm,874,4,874230454,Wrothgarian Mountains,4
Farm,399,383,3996538355,Sentinel,7
Farm,560,482,5602948274,Dak'fron,9
Farm,257,13,257521356,Northmoor,1
Farm,324,158,3249915856,Shalgora,1
Farm,352,159,3525515929,Anticlere,1
Farm,790,30,7901103020,Wrothgarian Mountains,4
Farm,471,130,4710513068,Urvaius,1
Farm,117,129,1170512910,Tulune,1
Farm,533,483,5335848309,Dak'fron,9
Farm,310,79,310547964,Ilessan Hills,1
Farm,352,388,35211338861,Sentinel,7
Farm,217,81,217778154,Ilessan Hills,3
Farm,411,107,4114010763,Urvaius,1
Farm,734,447,7344144776,Dragontail Mountains,4
Farm,823,293,8235629342,Satakalaam,5
Farm,694,106,6945810686,Alcaire,1
Farm,550,473,550116473104,Dak'fron,9
Farm,537,49,537684910,Dwynnen,1
Farm,250,151,25011615155,Daggerfall,3
Farm,702,12,70212812127,Wrothgarian Mountains,4
Farm,187,158,1872715861,Daggerfall,3
Farm,983,430,9831843013,Dragontail Mountains,4
Farm,638,40,638644069,Wrothgarian Mountains,4
Farm,163,39,163063960,Northmoor,1
Farm,479,463,4794146349,Antiphyllos,8
Farm,330,129,3305012950,Shalgora,1
Farm,945,97,9450897122,Wrothgarian Mountains,4
Farm,384,358,3840635826,Sentinel,7
Farm,530,116,53004116108,Dwynnen,1
Farm,720,19,7201061958,Wrothgarian Mountains,4
Farm,103,104,1038410442,Tulune,1
Farm,541,70,541967081,Dwynnen,1
Farm,402,175,40252175115,Anticlere,1
Farm,262,90,2626490110,Ilessan Hills,3
Farm,650,434,6507743473,Santaki,9
Farm,540,118,5407611858,Dwynnen,1
Farm,370,392,3709239270,Sentinel,7
Farm,184,489,1848648955,Abibon-gora,7
Farm,241,167,2416916792,Daggerfall,3
Farm,783,136,78310013673,Wrothgarian Mountains,4
Farm,224,69,224736915,Ilessan Hills,1
Farm,326,117,32669117109,Shalgora,1
Farm,164,46,164784665,Northmoor,1
Farm,945,280,9455028070,Mournoth,5
Farm,290,417,2906541756,Myrkwasa,7
Farm,505,404,50500404111,Alik'r Desert,8
Farm,440,49,440314950,Urvaius,1
Farm,572,122,5729012252,Bhoriane,1
Farm,861,485,8619048576,Dragontail Mountains,4
Farm,932,122,93211612260,Wrothgarian Mountains,4
Farm,382,378,3825637860,Sentinel,7
Farm,870,107,8700910763,Wrothgarian Mountains,4
Farm,681,291,6814929161,Lainlyn,5
Farm,718,127,7185812750,Alcaire,1
Farm,316,400,3169640028,Sentinel,7
Farm,752,23,752282368,Wrothgarian Mountains,4
Farm,849,474,8496847413,Dragontail Mountains,4
Farm,95,128,952012855,Tulune,1
Farm,337,15,337181517,Ykalon,2
Farm,927,62,92711462127,Wrothgarian Mountains,4
Farm,818,201,8188120181,Menevia,1
Farm,931,223,9316122368,Wayrest,1
Farm,560,362,5605536274,Tigonus,7
Farm,816,326,816120326120,Totambu,5
Farm,508,113,5081311377,Dwynnen,1
Farm,341,39,3417439118,Ykalon,1
Farm,521,320,5216832010,Tigonus,6
Farm,857,15,857381567,Wrothgarian Mountains,4
Farm,705,444,70512044456,Dragontail Mountains,4
Farm,495,360,4953336051,Tigonus,7
Farm,561,434,5612243469,Alik'r Desert,8
Farm,965,469,96558469106,Dragontail Mountains,4
Farm,848,132,84876132127,Wrothgarian Mountains,4
Farm,740,346,7406934632,Totambu,5
Farm,292,69,292326977,Ilessan Hills,1
Farm,355,1,3551240168,Ykalon,2
Farm,293,70,293917067,Ilessan Hills,1
Farm,161,171,1617317165,Daggerfall,1
Farm,152,202,1528120278,Daggerfall,1
Farm,532,345,5327034567,Tigonus,7
Farm,698,85,698838564,Koegria,1
Farm,83,135,839213541,Tulune,1
Farm,130,75,130647576,Glenumbra Moors,1
Farm,191,187,1915818767,Daggerfall,1
Farm,819,114,8197711472,Wrothgarian Mountains,4
Farm,559,340,5597334015,Tigonus,7
Farm,351,373,3515237378,Sentinel,7
Farm,487,141,48711614168,Anticlere,1
Farm,849,418,8497941876,Dragontail Mountains,4
Farm,547,16,5471101658,Dwynnen,1
Farm,464,480,46497480101,Alik'r Desert,8
Farm,274,200,27461200111,Daggerfall,1
Farm,394,342,3945434264,Sentinel,7
Farm,81,73,81357356,Glenumbra Moors,1
Farm,676,77,676237712,Koegria,1
Farm,673,53,673605356,Koegria,4
Farm,564,4,564420487,Phrygias,4
Farm,159,191,15912319159,Daggerfall,1
Farm,402,170,40212017056,Anticlere,1
Farm,624,325,62405325106,Dragontail Mountains,4
Farm,983,17,983521750,Wrothgarian Mountains,4
Farm,846,475,8465847574,Dragontail Mountains,4
Farm,875,353,8759935372,Totambu,5
Farm,319,395,3195039552,Sentinel,7
Farm,137,70,1371237067,Glenumbra Moors,1
Farm,706,295,7067029560,Lainlyn,5
Farm,260,60,2601206026,Northmoor,1
Farm,432,451,4324745158,Bergama,8
Farm,523,71,523137172,Dwynnen,1
Farm,433,390,4334239064,Sentinel,7
Farm,378,153,37855153118,Anticlere,1
Farm,356,379,356123379104,Sentinel,7
Farm,550,12,5501011255,Phrygias,1
Farm,669,297,6696729740,Lainlyn,5
Farm,390,47,390034774,Daenia,1
Farm,824,308,82411030808,Satakalaam,5
